name,averageRevenue,medianRevenue,totalRevenue,publishedGames
FlynnFour Games,7748.666666666667,6081,23246,3
Coin Operated Games,15231,15231,15231,1
Erik Sheader-Smith,15470,15470,15470,1
33ParadoX&igstore,11752.333333333334,11468,35257,3
Jeremy Slavitz,15204,15204,15204,1
Engient,15208,15208,15208,1
DanielDavisGames,8511.5,8511.5,17023,2
IriySoft,15176,15176,15176,1
Michael Kamm,15144,15144,15144,1
UFO Crash Games,16831,16831,16831,1
K-Games,16772,16772,16772,1
Alex Rose Games,16793,16793,16793,1
Dan Trimble,16801,16801,16801,1
Creye Games,16805,16805,16805,1
Team Clam,16785,16785,16785,1
RNG Party Games,16746,16746,16746,1
YajinGameProject,9491,9491,18982,2
NinjaDuck Games,9128.5,9128.5,18257,2
CQC Software,11746,11746,23492,2
Hitscan Games,16724,16724,16724,1
Field Of Vision,16723,16723,16723,1
Nito Souji,16621,16621,16621,1
AAA Game Studios,16809,16809,16809,1
Snubber,16780,16780,16780,1
Pompaduo,16671,16671,16671,1
Runesoft GmbH,8995.2,7839,44976,5
WSJ Team,16658,16658,16658,1
Team Zutsuu,16673,16673,16673,1
Playtap Games,16650,16650,16650,1
Mindstorm Studios,16650,16650,16650,1
RealityArts Studio,16647,16647,16647,1
GameCreator,16645,16645,16645,1
Bandage and Go Studio,16635,16635,16635,1
BernhardM,16624,16624,16624,1
豆豆萌萌兔,15430,15430,15430,1
UUUU Interactive,16636,16636,16636,1
weyha.com,15204.5,15204.5,30409,2
Curious Visions,16580,16580,16580,1
Ballista Studios IVS,16581,16581,16581,1
Bearded Giant Games,14068,14068,28136,2
Sleeping Eight Studio,16587,16587,16587,1
Infiniverse,9075.5,9075.5,18151,2
Catdoors,16558,16558,16558,1
Classic Card Games Limited,3338.8,0,16694,5
WnMStudio,4237.4,0,21187,5
Sky Ship Studios,16544,16544,16544,1
Studio Ganzheit,16734,16734,16734,1
Eteru Studio,9489,9489,18978,2
CQGAME,16568,16568,16568,1
Kygua Tech,8508.5,8508.5,17017,2
Fireball Games,16501,16501,16501,1
Luna Orion,16484,16484,16484,1
Ceylon Entertainment,12504,12504,25008,2
Fourfold Games,15280,15280,30560,2
Circle 5 Studios,8236,8236,16472,2
Michał Wikliński,16448,16448,16448,1
LukPlus,16430,16430,16430,1
Eternity Games,16412,16412,16412,1
"Moonshark, Inc.",16413,16413,16413,1
WetMelonPlay,16425,16425,16425,1
Visual Interactive,16404,16404,16404,1
Decaying Logic,16404,16404,16404,1
GoodSleepGames,16570,16570,16570,1
Filthy Peasant Games,16387,16387,16387,1
Mockingbird Softworks,16387,16387,16387,1
The Space,16381,16381,16381,1
One to One Development Trust,16381,16381,16381,1
Mez Breeze Design,16381,16381,16381,1
Stupid Industries,16374,16374,16374,1
NinjaBee.com,16366,16366,16366,1
Amrita Studio,10678,10678,21356,2
Ukuza,16316,16316,16316,1
Gnomic Studios,16300,16300,16300,1
"Dungeon Software US, LLC.",16297,16297,16297,1
凌晨大黑狗,16660,16660,16660,1
GIFT TEN INDUSTRY K.K.,8126.666666666667,8085,24380,3
480 Games,8814,8814,17628,2
C&C Game Studio,16256,16256,16256,1
go go go studio,16263,16263,16263,1
b-alive,16252,16252,16252,1
JuTek Pixel,9591.5,9591.5,19183,2
Dave Miller,16250,16250,16250,1
Blumhouse Games,16236,16236,16236,1
Shinu Real Arts,16239,16239,16239,1
Zen Apps Studio,16228,16228,16228,1
Mesmerizers,16528,16528,16528,1
NotDeadLuna Studio,9486,9486,18972,2
The Wild Gentlemen,16278,16278,16278,1
CarVin Interactive,16189,16189,16189,1
Milan Timčenko,16271,16271,16271,1
Space Capsule Games,16119,16119,16119,1
Trippin Bears,8065,8065,16130,2
Presto Studios,16136,16136,16136,1
Fumiko Games,16134,16134,16134,1
Bread Panda,16073,16073,16073,1
Rhizome Games™,16132,16132,16132,1
PimpMaster,16762,16762,16762,1
Micah Boursier,8058,8058,16116,2
OLKON GAMES,8043,8043,16086,2
Unikware,11755,14491,35265,3
hede,15954,15954,15954,1
Coinflip Studios,8015.5,8015.5,16031,2
Real Dynamics,16028,16028,16028,1
WhippedUP_gaming,16022,16022,16022,1
ATD Game Studio,16021,16021,16021,1
Doesn't Matter Games,7984.5,6007,63876,8
MikeTeevee,16010,16010,16010,1
神心飘游堂,15996,15996,15996,1
Octavi Navarro,11668.125,13172.5,93345,8
Kieffer Bros.,15956,15956,15956,1
Argentum Gaming,15972,15972,15972,1
Dim Bulb Games,16313,16313,16313,1
Esenthel,9522.5,9522.5,19045,2
MadZone Games,15923,15923,15923,1
Quinn K.,16031,16031,16031,1
Dyrnwyn Games,15915,15915,15915,1
iMoe Games,15006.5,15006.5,30013,2
Zach Gage,15846,15846,15846,1
Smyowl,15899,15899,15899,1
Michael Gentry,15896,15896,15896,1
Pigs Fly Games,16051,16051,16051,1
Minstrel Studio,8656.5,8656.5,17313,2
V Sisters,15922,15922,15922,1
Goba,15938,15938,15938,1
PING YI LIN,15878,15878,15878,1
Nowsky,15871,15871,15871,1
Gentlemen in Tuxedos,15838,15838,15838,1
ErosVR,8987,8987,17974,2
Catnip,7910.5,7910.5,15821,2
Jaydeb,15815,15815,15815,1
Reanimated Games,15987,15987,15987,1
GRIP420,15800,15800,15800,1
interplay,9014.5,9014.5,18029,2
Adam Horvath,15793,15793,15793,1
Tiny Leviathan Studios,15789,15789,15789,1
RIP Studios LLC,15779,15779,15779,1
Illuminatigames,15782,15782,15782,1
Whimsical,15774,15774,15774,1
Nekolyst,13076,13076,13076,1
朵游社,15770,15770,15770,1
Cloud M1,15735,15735,15735,1
Dino Digital,10014.5,10014.5,20029,2
Rymdfall AB,15720,15720,15720,1
Chicken in The Corn,15716,15716,15716,1
Mitredel,15713,15713,15713,1
Bloody Bear,16040,16040,16040,1
Roadfactory,15695,15695,15695,1
Anticto,15676,15676,15676,1
Gx Development,15733,15733,15733,1
Gimma Games,15733,15733,15733,1
Blockage Studios,16815,16815,16815,1
英特衛多媒體股份有限公司,12922.5,12922.5,25845,2
Ace X Game Studio,8238.25,6114,32953,4
DMD Enterprise,15639,15639,15639,1
Atapki,5964,2252,17892,3
"Schoolfield Games, LLC",10430,10430,10430,1
Heart Core,10424,10424,10424,1
Real Girl VR,11505.5,11505.5,23011,2
AGames,10423,10423,10423,1
SeedBolt Studios LLC,10423,10423,10423,1
VROOM,5985.25,6074,23941,4
Neo,10929,10929,10929,1
Nikkihends Production,10410,10410,10410,1
Donut Games,5924,5924,11848,2
Normal Distribution LLC,10408,10408,10408,1
Danil Kalyupa,10430,10430,10430,1
Afraidies House,10544,10544,10544,1
A Jolly Corpse,10377,10377,10377,1
Sati Bros,10384,10384,10384,1
Sascha Klenk,10368,10368,10368,1
Resistance Studio,10367,10367,10367,1
Aberrant Realities,10366,10366,10366,1
Quantum Phoenix Bucharest,10367,10367,10367,1
Santaclos,10367,10367,10367,1
Pikewin,9358,9358,18716,2
NobleWare,10353,10353,10353,1
Vidama Software LLC,10348,10348,10348,1
The Truthtellers,10343,10343,10343,1
Niall Slater,10646,10646,10646,1
Zeke Virant,10339,10339,10339,1
Matthew Wong,10323,10323,10323,1
Reality Inside Ltd.,10315,10315,10315,1
Bit Assembly,10312,10312,10312,1
Armnomads,10306,10306,10306,1
Baka Dog,10302,10302,10302,1
TIFON STUDIO,6456.5,6456.5,12913,2
TIFON STUDIO EIROS,6456.5,6456.5,12913,2
Geoff Nagy,7671,7671,15342,2
Yatagarasu Dev Team,10227,10227,10227,1
Spunge Games Pty Ltd,10274,10274,10274,1
Krazy Studios,10273,10273,10273,1
Lotos Project,8121.5,8121.5,16243,2
Fellstrike Games,10269,10269,10269,1
Blue Label Studio,10269,10269,10269,1
Considera Core LLC,11039.314488713004,10275,33117.94346613901,3
the NineLust Studios,10278,10278,10278,1
Michael Todd Games,10265,10265,10265,1
Shattered Mirror,10260,10260,10260,1
Voided Pixels,10259,10259,10259,1
Tom Kitchen,10256,10256,10256,1
Michael Josephs,10247,10247,10247,1
KRAKATOA STUDIOS,10236,10236,10236,1
Soft Source Pte. Ltd.,5851.5,5851.5,11703,2
Mind Control Software,10243,10243,10243,1
Monkey Jump Games,10243,10243,10243,1
8AH,10230,10230,10230,1
Zeros,6057.937181066212,6057.937181066212,12115.874362132425,2
GENOVA Softworks,10225,10225,10225,1
UNICORE Games Studio,4632,2164,13896,3
Bryan de Jong,10368,10368,10368,1
MechanicsDriven,5110,5110,10220,2
Pat Scott,5108,5108,10216,2
Vera Visions,10215,10215,10215,1
Luzon Games,10212,10212,10212,1
Vector Games,10210,10210,10210,1
Anime fashion show,10205,10205,10205,1
Ripatti Software,10203,10203,10203,1
Zero Fun,5805,5805,11610,2
WooJuDev,10196,10196,10196,1
Niema Moshiri,7606,7606,15212,2
Universe Projects Inc.,10188,10188,10188,1
TMAS,10186,10186,10186,1
Interwise Multimedia Corporation,10186,10186,10186,1
Malicious Games,10182,10182,10182,1
Hidden People Club,5090.5,5090.5,10181,2
Uphill Promise,10174,10174,10174,1
Glacier LTD,10167,10167,10167,1
davidczar,10198,10198,10198,1
Lumenox ehf,6692,6692,13384,2
Eli Daddio,6721.5,6721.5,13443,2
Visionstead Studio,10159,10159,10159,1
Valklabs,10123,10123,10123,1
Sam Enright,10153,10153,10153,1
Ardentsquid,10152,10152,10152,1
Fair Games Studio,10151,10151,10151,1
SupKai,10583,10583,10583,1
Terrifying Jellyfish,10148,10148,10148,1
Miro Straka,10136,10136,10136,1
"Forge Father Games, Inc.",8472,8472,16944,2
hololive Indonesia,10141,10141,10141,1
TRI.G,10135,10135,10135,1
Lunar Tale Games LLC,10077,10077,10077,1
Septime Studios,10112,10112,10112,1
nextReality Games,10120,10120,10120,1
Craftven,10112,10112,10112,1
[OneManBand],6515.666666666667,5949,19547,3
OneOneGames,11987,11987,11987,1
heavenly-roads,11962,11962,11962,1
Resistance Games,11954,11954,11954,1
"Ponywolf, LLC",5127,4277,20508,4
VEGA Studio,11957,11957,11957,1
Peace & Love Games,7376.5,7376.5,14753,2
Beacon of Gamers,11956,11956,11956,1
Acid Mines Software UG,7531,7531,15062,2
ゆーぎり,11932,11932,11932,1
OverGamez,12021,12021,12021,1
卧熊工作室,11929,11929,11929,1
Elastic Sea,9019.5,9019.5,18039,2
Psyanotek Limited,11930,11930,11930,1
Software Wolf,10254.5,10254.5,20509,2
A2G Studios,11905,11905,11905,1
eXtasy Games,11895,11895,11895,1
Immortal Forge,11871,11871,11871,1
onebraverobot,11889,11889,11889,1
Animation Game Series,11883,11883,11883,1
Trapdoor Games,11871,11871,11871,1
Harold Crow,11854,11854,11854,1
EvolVR Games Ltd.,3964,1999.5,15856,4
Andrew Rowe,3951.3333333333335,0,11854,3
Fabricated Reality Software,11851,11851,11851,1
Medley Studios,11849,11849,11849,1
Zueira Digital,11842,11842,11842,1
Historium Bruges,11835,11835,11835,1
Spectral Illusions LLC,11833,11833,11833,1
VISON STUDIOS,8069.333333333333,7344,24208,3
NGELGAMES,5911.5,5911.5,11823,2
"wefiends, Inc.",11819,11819,11819,1
Super Systems Softworks,11817,11817,11817,1
Enno Gottschalk,11808,11808,11808,1
muratsubo Games,12219,12219,12219,1
cys20 studio,11788,11788,11788,1
Squiddershins,4755,2476,14265,3
Whiteboard Games,11735,11735,11735,1
Rakame 7,11781,11781,11781,1
Jipang2Games,11778,11778,11778,1
OZBER CIN,11774,11774,11774,1
Rockodile,11772,11772,11772,1
CatCat Gaming,8494.5,8494.5,16989,2
Dahlenburg,8795,8795,17590,2
Duang Studio,11736,11736,11736,1
"Friendly Pixel, Inc.",11736,11736,11736,1
4 Fun Studio,8117,8050,24351,3
Recotechnology S.L.,5407.75,4185.5,21631,4
GermapurApps,11707,11707,11707,1
Reine Works,5204.5,4545,20818,4
Editmode,11940,11940,11940,1
FLUXJIN,13301.5,13301.5,26603,2
"Hammerware, s.r.o.",11724,11724,11724,1
Yanim Studio,11716,11716,11716,1
.orphans,11345,11345,11345,1
Genunie Studio,11712,11712,11712,1
Gameplay Studio VR,5463.666666666667,3440,16391,3
Mack Art Productions Inc,6498.5,6498.5,12997,2
Abstraction Games,11702,11702,11702,1
Filipe F. Thomaz,11695,11695,11695,1
TushaWorks,11693,11693,11693,1
Angel Light Games,11680,11680,11680,1
SFK Game Studio,11679,11679,11679,1
Newbuild-C,5838.5,5838.5,11677,2
Pixel Reign,11670,11670,11670,1
Ughorse Studio,11669,11669,11669,1
Somavision Games,11667,11667,11667,1
One Man Army Games,11665,11665,11665,1
AlikArt Studio,11661,11661,11661,1
Bertalan Zoltán e.v.,11648,11648,11648,1
Funny game studio,11631,11631,11631,1
Pine Street Codeworks LLC,11642,11642,11642,1
Yellow Basement Games,12049,12049,12049,1
Ice Cold Games,11637,11637,11637,1
Dev It With Cat,11600,11600,11600,1
Orgipix Prod,4674.333333333333,1237,14023,3
Exodus Software,6563.5,6563.5,13127,2
2ndBoss,5840.25,4187,23361,4
Broken English,12047,12047,12047,1
PixelCat,11958,11958,11958,1
Logtown Studios AB,11619,11619,11619,1
mamor games,11622,11622,11622,1
YoXia Game Studio,11622,11622,11622,1
sun xiaodong,11641,11641,11641,1
Bango House,11550,11550,11550,1
Meowshmallow Studio,11607,11607,11607,1
Garakowa Marshmallow,7306,8972,21918,3
J2YSOFT,8139.5,8139.5,16279,2
Tianyu Studio,11585,11585,11585,1
Bourbontank,11583,11583,11583,1
NipponMilf VR Productions,12374,12374,12374,1
The Rogue Initiative,11576,11576,11576,1
BeautifulBee,11575,11575,11575,1
David Schmidthoffer,11685,11685,11685,1
TheAmanStudios,6637.5,6637.5,13275,2
Colorspace Studio,11571,11571,11571,1
Baltica Games,11557,11557,11557,1
Sven Neumann,11637,11637,11637,1
A17 Games,11664,11664,11664,1
Steamroller Studios,11521,11521,11521,1
Dark Castle Software,11533,11533,11533,1
The Naughty Three,11413,11413,11413,1
WTCD,11525,11525,11525,1
Sweet Bandits Studios,11517,11517,11517,1
VIOE,11513,11513,11513,1
Love Lab R18,11515,11515,11515,1
NuclearFirecracker,11499,11499,11499,1
LSP GAME,7045.5,7045.5,14091,2
flossdorfgames,11491,11491,11491,1
ForeVR Games Inc,3633.5,1509.5,14534,4
Games 4Experience,5896.333333333333,4727,17689,3
Snob Entertainment UG,11476,11476,11476,1
SINKERSIX Inc.,18003,18003,18003,1
AVE,17973,17973,17973,1
Aniode,17967,17967,17967,1
TSRS,10519,10519,21038,2
Symbiosis Games,17957,17957,17957,1
好色男孩,17934,17934,17934,1
SHIBAPOWER,17948,17948,17948,1
老紫妈活动中心,17738,17738,17738,1
Pi Bit,10080.5,10080.5,20161,2
大きくて強い,7741.2,6135,38706,5
PhantomIsland,17905,17905,17905,1
"Reality Smash, Inc.",17888,17888,17888,1
FUN Creators,17883,17883,17883,1
Quirky Porcupine,18070,18070,18070,1
Orongto,17866,17866,17866,1
Quixotic Software,17890,17890,17890,1
织女星游戏,17881,17881,17881,1
LetMeowt Games LLC,11865,11865,23730,2
Disastercake,17878,17878,17878,1
Kaikalii,17875,17875,17875,1
唐扬Studio,17831,17831,17831,1
Bitwave Games,17852,17852,17852,1
Pharos Interactive,17967,17967,17967,1
Intersky Studios,17844,17844,17844,1
FlyinDogs,17861,17861,17861,1
GB,17831,17831,17831,1
"L＆K Co., Ltd.",68539.60271331784,68539.60271331784,137079.2054266357,2
Act Normal Games,18019,18019,18019,1
Marudice,11241,11241,22482,2
Metroneck,17886,17886,17886,1
Fiddlyware,18214,18214,18214,1
飞麦菌,17790,17790,17790,1
Fat Loot Games,17768,17768,17768,1
TENBIRDS,17766,17766,17766,1
Boardscore Inc,17824,17824,17824,1
Ink Kit,17753,17753,17753,1
MUIFWEGO,17756,17756,17756,1
Centrosphere Games,17750,17750,17750,1
Old Oak Den,17743,17743,17743,1
Manifestors Games Studio,17731,17731,17731,1
White Knight,17738,17738,17738,1
Chraph,17418,17418,17418,1
Incendium LTD,17724,17724,17724,1
The Secret Pie,7502.666666666667,3014,22508,3
Cyberius Dei,17919,17919,17919,1
Origin8 Technologies Ltd,17705,17705,17705,1
Interactive Wave Studio,18152,18152,18152,1
Sirrah,17570,17570,17570,1
XIAOXIAO STUDIO,17657,17657,17657,1
Snails Animation,17662,17662,17662,1
Royal Goose Studios,17643,17643,17643,1
Fluffex Studios,17644,17644,17644,1
Choose Multiple LLC,17631,17631,17631,1
JoyFI Games,17685,17685,17685,1
上海刃贤网络科技有限公司,17627,17627,17627,1
Keinart Lobre,8804,8804,17608,2
Effort Star,17572,17572,17572,1
Rob Lach Games,17604,17604,17604,1
Out Gaming,17593,17593,17593,1
The Fine Young Capitalists,17587,17587,17587,1
playchocolate,17585,17585,17585,1
Pavel Zinchenko,11732,11732,23464,2
Image Labo,8870.5,8870.5,17741,2
Studio 46,17563,17563,17563,1
Vidroid,9539,9539,19078,2
TeamTrap,17566,17566,17566,1
The Unwelcomed Studios,17563,17563,17563,1
"Jiangzuogongfang Shanghai Game Co.,Ltd",17773,17773,17773,1
MWM Interactive,17532,17532,17532,1
GeekPit,17525,17525,17525,1
D4 Laboratory,10119.5,10119.5,20239,2
OutOfTune,17524,17524,17524,1
Virtual Imagineering S.L.,17518,17518,17518,1
Moonlit Works,4378.25,0,17513,4
Chronicle Bench,17496,17496,17496,1
EYEJAM STUDIOS,8539,6247,25617,3
Mobirate,4838.5,898,19354,4
ParasGames,6879.666666666667,3081,20639,3
Black Cell,17456,17456,17456,1
Druid Gameworks Studio LLC,17451,17451,17451,1
Wolfsden LLC,14090,14090,14090,1
Samuel Gordon,14034,14034,14034,1
RedHouse Studios LLC.,14028,14028,14028,1
MorpheusZ,13996,13996,13996,1
Y Press Otomes,13998,13998,13998,1
Halftone Studios,14067,14067,14067,1
Wevery,13976,13976,13976,1
ANIGRAM,13968,13968,13968,1
Pathless Games,13959,13959,13959,1
EXPVR Inc.,13943,13943,13943,1
Samaritan Studios,13937,13937,13937,1
Polynetix Studio,9537.666666666666,8068,28613,3
LR Studio,6918.333333333333,7692,20755,3
DPSII,6396.666666666667,7648,19190,3
Starlight Games,853189.0127201068,63264,4265945.063600534,5
mumimumi,7940,7940,15880,2
Bad Seed,9938,9938,19876,2
"Tri Synergy, Inc.",5411,4522,16233,3
rentaka,4652.271380825721,6102,13956.814142477164,3
安格法,4634.666666666667,4780,13904,3
Naughty Clogs,4329.666666666667,4998,12989,3
Anton Kryukov,10609.5,10609.5,21219,2
Warlock Arts,3434.6666666666665,2819,10304,3
TrueLove Games,15206,15206,15206,1
Dune Clockidy,9170,9170,18340,2
Tiger Studios,9170,9170,18340,2
WigglingEyebrows,15145,15145,15145,1
Blackcross & Taylor,9803,9803,19606,2
DuDu Games,15159,15159,15159,1
Hurricane Games,15159,15159,15159,1
BTrain Studio,17509,17509,17509,1
Total Eclipse,15098,15098,15098,1
Miles Fogle,15078,15078,15078,1
Phillip Trudeau-Tavara,15078,15078,15078,1
FlodLab UG (haftungsbeschraenkt),15072,15072,15072,1
Brinemedia,7472.25,5206,29889,4
Immersive VR Education,15057,15057,15057,1
TD,15053,15053,15053,1
Score Studios LLC,15046,15046,15046,1
Archiact Interactive Ltd.,12778.5,12778.5,25557,2
void room,15040,15040,15040,1
Resilient Games Ltd.,15031,15031,15031,1
Big Hit Games,15026,15026,15026,1
Cybernetik Design,15037,15037,15037,1
ASOBI,4303,1683,21515,5
Mr. Pink,15008,15008,15008,1
Simon Prefontaine,14989,14989,14989,1
Matas Sakalauskas,14977,14977,14977,1
Greebo Games,14970,14970,14970,1
Analog Joker LLC,14971,14971,14971,1
A.M. Team,14968,14968,14968,1
AJRPG,14952,14952,14952,1
Cybernetic Walrus,7474,7474,14948,2
Dystopia Corp,14916,14916,14916,1
DIVASKY LIMITED,14940,14940,14940,1
Black Market Games,14933,14933,14933,1
Complex Rabbit,14903,14903,14903,1
趣品堂(Hardcore Studio),14920,14920,14920,1
Anchor Reality,7453,7453,14906,2
"Sunstone Games, LLC.",14909,14909,14909,1
Mooncat Games,11575.333333333334,13550,34726,3
FRACTALCATZ,14894,14894,14894,1
8 CIRCUIT STUDIOS,14888,14888,14888,1
Agelvik,5583.666666666667,4647.5,33502,6
That's Not A Game LLC,14875,14875,14875,1
EFatullaev,14844,14844,14844,1
Wooden Anchor Games,14865,14865,14865,1
Deadly Red Cube,14859,14859,14859,1
Horizon Lab LLP,14884,14884,14884,1
Road Turtle Games,14867,14867,14867,1
Frozen Pixel,8980.5,8980.5,17961,2
WolfBite Interactive LLC,13931,13931,27862,2
Syrena Interactive,14834,14834,14834,1
DG Games Workshop,14830,14830,14830,1
EVIL GAMES,14822,14822,14822,1
REL Games,14889,14889,14889,1
BoyAndWitch Studio,14790,14790,14790,1
Morganti Livio,14776,14776,14776,1
NETWORKGO,14794,14794,14794,1
Likho Games,14903,14903,14903,1
TiGAMES,14772,14772,14772,1
Arewar Games,14780,14780,14780,1
catnipstudio,14750,14750,14750,1
John Cullen,14763,14763,14763,1
Rusto,14752,14752,14752,1
ARVI VR INC.,14745,14745,14745,1
OTTO Games,7295.5,7295.5,14591,2
Harbinger Beard,14740,14740,14740,1
Wind Runner,14743,14743,14743,1
Dawei Liu,14724,14724,14724,1
Rainy Frog Co. Ltd.,14764,14764,14764,1
"Fantastic, yes",14711,14711,14711,1
La Cosa,14715,14715,14715,1
GIGATANK 3000,4242.6,0,21213,5
Vexel Games,14696,14696,14696,1
Keybol,14695,14695,14695,1
CodeBison Games,14693,14693,14693,1
Last Lotus,9513.5,9513.5,19027,2
FrostbiteGames,14680,14680,14680,1
Hollow Art Studios,14677,14677,14677,1
Nanali Studios,6325.25,4389,25301,4
Barnes,14656,14656,14656,1
SYDNEY GAMES,14650,14650,14650,1
Eh,14643,14643,14643,1
Purple Shadow Interactive,14642,14642,14642,1
Mosqi Games,14870,14870,14870,1
FIT REALITY,14631,14631,14631,1
T0 STUDIO,14609,14609,14609,1
BiscuitPlay,14583,14583,14583,1
ZBO interactive technology,14578,14578,14578,1
Croqueta Asesina Studios,14577,14577,14577,1
Black Book Development,14570,14570,14570,1
Icy Forge UG (haftungsbeschränkt),14449,14449,14449,1
Studio Namaapa,7904,7904,15808,2
Arakion LLC,14558,14558,14558,1
Broken Window Studios,14551,14551,14551,1
游学者狐狸,9898,9898,19796,2
Relentless Software,14544,14544,14544,1
DIY Experiences LLC,14542,14542,14542,1
Frogsong Studios,7678.394120805403,7678.394120805403,15356.788241610806,2
Less Describable Games,14523,14523,14523,1
Eminent Softworks,14518,14518,14518,1
Sunblink,14505,14505,14505,1
Simon CLAVEL,14493,14493,14493,1
2MEDYA,9229.666666666666,13234,27689,3
Universe,14476,14476,14476,1
Targhen Games,14457,14457,14457,1
Darks Zone,8449,8449,16898,2
Rozz Games,14651,14651,14651,1
Vectmatica,14458,14458,14458,1
Dreamfire Studios,14395,14395,14395,1
Glitchy Pixel,14434,14434,14434,1
LCSsiveR,14437,14437,14437,1
Disturbing Excitement,14191,14191,14191,1
K84,14474,14474,14474,1
Ratz 'N' Godz,14405,14405,14405,1
One Tree Hill Studios,14385,14385,14385,1
RTFM Corp.,14373,14373,14373,1
4Realms,14360,14360,14360,1
"Thiemo Bolder, ONEMANGAMES",14373,14373,14373,1
Smart AI Games,14350,14350,14350,1
Codebrew Games Inc.,14463,14463,14463,1
phixcat,14342,14342,14342,1
上海巴霍网络科技有限公司,14364,14364,14364,1
Dee Odd Games,14379,14379,14379,1
Luckshot Games,7923.5,7923.5,15847,2
Kamotachi,14384,14384,14384,1
Abandoned House Studios,14275,14275,14275,1
Rumbora Party Games,14275,14275,14275,1
Rendercode Games,14293,14293,14293,1
Kinetic Novels,10067.333333333334,13024,30202,3
Level Evil,14256,14256,14256,1
Victory Road,14256,14256,14256,1
Black Sun Game Publishing,14256,14256,14256,1
AzDimension,7125,7125,14250,2
Studio Stobie,14239,14239,14239,1
Power Level Studios Inc.,14233,14233,14233,1
SFCO Games,14217,14217,14217,1
Bonjourcoco,14220,14220,14220,1
Dark Amber Softworks,14211,14211,14211,1
柿树文化,14195,14195,14195,1
龍之咲,11586,11586,23172,2
Unikone,14231,14231,14231,1
Skibidi Games,12756,12756,12756,1
PenguiNet,14202,14202,14202,1
Glowfish Interactive,14202,14202,14202,1
N-Body Solutions,14172,14172,14172,1
Triple Cerberus Studios,14155,14155,14155,1
New Canvas,14157,14157,14157,1
redhubvr,14157,14157,14157,1
Kitten Fortress,7786.5,7786.5,15573,2
SaltyTea-M,14159,14159,14159,1
XR Studio,14215,14215,14215,1
Hillfort Games,14784,14784,14784,1
Mr.Skull Game Studio,14142,14142,14142,1
David Vinokurov,14155,14155,14155,1
Mystik'art,14135,14135,14135,1
Humble Hearts LLC,14125,14125,14125,1
Wild Guess Software,14121,14121,14121,1
Major Games,14106,14106,14106,1
Seyloj,8019.5,8019.5,16039,2
Ephemeral Entertainment,14095,14095,14095,1
Gius Caminiti,14094,14094,14094,1
quickdog,14117,14117,14117,1
Morion Studio,14044,14044,14044,1
Playniac,14061,14061,14061,1
Shotgun Surgeons,14056,14056,14056,1
Nightlife Strangers,14060,14060,14060,1
Okugi Sudio,14061,14061,14061,1
Gravity Games,13935,13935,13935,1
Infernal Anvil Games,13934,13934,13934,1
Shattered Display,13949,13949,13949,1
Neofid Studios,13921,13921,13921,1
WhyKev,8287,8287,16574,2
Dark Screen Games,13922,13922,13922,1
vano,13911,13911,13911,1
Scary Wizard Games,13915,13915,13915,1
IL PALA,13959,13959,13959,1
WOD,13912,13912,13912,1
Oneiric Tales,13900,13900,13900,1
Miluku Inc.,14118,14118,14118,1
John Szymanski,17617.25,9451,70469,4
Gideon Lazarus,14017,14017,14017,1
Jie En Lee,14017,14017,14017,1
いくちおすてご,9073.5,9073.5,18147,2
Two-Way Ltd.,13848,13848,13848,1
N.INDIES,7714,7714,15428,2
Igor Rashkuev,13843,13843,13843,1
Shiny Dolphin Games LLC,9602.5,9602.5,19205,2
FreakZone Games,8051,8051,16102,2
CollectorVision Games,13817,13817,13817,1
Lightsoutgames,3455,3.5,13820,4
DeXP,5171,1673,15513,3
Hound Games,13808,13808,13808,1
Meltdown Interactive Media,13802,13802,13802,1
Monomyth,8238.5,8238.5,16477,2
Blaster Games Studio,13780,13780,13780,1
Glen Games,13795,13795,13795,1
rocketship,11297,11297,22594,2
Vampi Team,14562,14562,14562,1
Drago Software,7684,7684,15368,2
DonkeyKwon Games,13777,13777,13777,1
Jestercraft,7621,7621,15242,2
Skeleton Business,13902,13902,13902,1
Kvitravn Tales,7652,7652,15304,2
Floraverse,13748,13748,13748,1
Subversion Squad Studio,6870.5,6870.5,13741,2
Cryswar,13839,13839,13839,1
Zoroarts,13727,13727,13727,1
Infinite Loop Games,8308,8308,16616,2
DreamPunks,6866.5,6866.5,13733,2
WolffWare,13733,13733,13733,1
Maxim Nuriev,7792,7792,15584,2
Efril,13734,13734,13734,1
Daylight Studio,13710,13710,13710,1
Luckycalf,9821.5,9821.5,19643,2
Good Mood Games,13727,13727,13727,1
BitCutter Studios Inc.,11100.5,11100.5,22201,2
Studio 9.7,13614,13614,13614,1
Yo_Serjio,13613,13613,13613,1
Titouan Millet,13596,13596,13596,1
xTyler73,13584,13584,13584,1
Andreas Georgiou,13554,13554,13554,1
Bewolba Studios,13760,13760,13760,1
Caspian Interactive,8183,8183,16366,2
riinwin,7959,7959,15918,2
SOMG,13567,13567,13567,1
Little Bean Games,13533,13533,13533,1
Crispy Creative,13550,13550,13550,1
Abstract Void Interactive,13542,13542,13542,1
Shaven Stories,13663,13663,13663,1
BeatBoxer LLC,13530,13530,13530,1
Culture Shock Games LLC,13524,13524,13524,1
Open Late Games,13737,13737,13737,1
VRillAR,4926,0,24630,5
Bytecat Games,13507,13507,13507,1
Hook Echo Software,13506,13506,13506,1
